,Work Order,Type,Description,Status,Organization,Dept.,Equipment,Responsible Dept,Date Reported,Reported By,Sched. Start Date,Sched. End Date,Date Completed,Date Created,PM Code,Standard WO,Assigned To
0,924199,Plant Equip Related Work,REPAIR LEAKING WASTE WATER LINE AT END OF 1008 STEAMER,Supervisor Review,PMDA,D52,C52,MT,2024-05-13 07:13:00,EHAMMILL,5/13/2024,5/13/2024,5/13/2024 7:15,5/13/2024,,,
1,924184,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Supervisor Review,PMDA,D21A,M09995,MT,2024-05-13 05:28:00,RADAMS,5/13/2024,5/13/2024,5/13/2024 5:29,5/13/2024,,,
2,923213,Breakdown-Prodn Equip Cannot Run,low pressure accumulator leaking,Hold,PMDA,D10,M02930,MT,2024-05-08 10:16:00,LBRUZAS,5/8/2024,5/8/2024,,5/8/2024,,,
3,922653,Breakdown-Prodn Equip Cannot Run,Investigate leak in tub ,Released,PMDA,D19B,M04207,MT,2024-05-06 09:08:00,SMCLELLAN,5/17/2024,5/17/2024,,5/6/2024,,,KEN.DUNFORD
4,922365,Breakdown-Prodn Equip Cannot Run,air leak on gripper,Completed,PMDA,D19B,M06008,MT,2024-05-05 01:41:00,MMOORE,5/5/2024,5/5/2024,5/5/2024 1:43,5/5/2024,,,
5,922005,Breakdown-Prodn Equip Cannot Run,Brake Air line Leak,Supervisor Review,PMDA,D03,M02590,MT,2024-05-02 17:53:00,RADAMS,5/2/2024,5/2/2024,5/2/2024 17:54,5/2/2024,,,
6,921912,Safety,M08522 major coolant/oil leak,Hold,PMDA,D61,M08522,MT,2024-05-02 14:13:00,SBATHURST,5/2/2024,5/2/2024,,5/2/2024,,,
7,921299,Breakdown-Prodn Equip Cannot Run,273 Quick exhaust valves leaking,Released,PMDA,D03,M02730,MT,2024-04-30 18:11:00,MDUARTE,4/30/2024,4/30/2024,,4/30/2024,,,
8,920856,Breakdown-Prodn Equip Cannot Run,Air leak,Completed,PMDA,D19B,M06008,MT,2024-04-30 05:13:00,KEN.DUNFORD,4/30/2024,4/30/2024,4/30/2024 5:20,4/30/2024,,,
9,920851,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21A,M06020,MT,2024-04-30 05:06:00,KEN.DUNFORD,4/30/2024,4/30/2024,,4/30/2024,,,
10,920646,Breakdown-Prodn Equip Cannot Run,Coolant leak,Released,PMDA,D21C,M09922,MT,2024-04-29 11:05:00,SMCLELLAN,5/13/2024,5/13/2024,,4/29/2024,,,MDUARTE
11,920445,Breakdown-Prodn Equip Cannot Run,air leak,Completed,PMDA,D08,M03995,MT,2024-04-28 03:07:00,OESCOBAR,4/28/2024,4/28/2024,4/28/2024 3:08,4/28/2024,,,
12,920378,Breakdown-Prodn Equip Cannot Run,Water Leak ,Completed,PMDA,D19B,M04312,MT,2024-04-27 17:42:00,RADAMS,4/27/2024,4/27/2024,4/27/2024 17:43,4/27/2024,,,
13,920372,Breakdown-Prodn Equip Cannot Run,Air leak / Lube Fault,Completed,PMDA,D11,M04070,MT,2024-04-27 17:04:00,RADAMS,4/27/2024,4/27/2024,4/27/2024 17:05,4/27/2024,,,
14,920009,Breakdown-Prodn Equip Cannot Run,air tool oil leak at cylinders,Hold,PMDA,D19B,M04003,MT,2024-04-26 11:13:00,SMCLELLAN,4/26/2024,4/26/2024,,4/26/2024,,,
15,919999,Breakdown-Prodn Equip Cannot Run,air tool oil leak out cylinders,Hold,PMDA,D19B,M04004,MT,2024-04-26 11:06:00,SMCLELLAN,4/26/2024,4/26/2024,,4/26/2024,,,
16,919949,Breakdown-Prodn Equip Cannot Run,core rod quick exhaust leak,Completed,PMDA,D01,M02790,MT,2024-04-26 04:09:00,MMOORE,4/26/2024,4/26/2024,4/26/2024 4:13,4/26/2024,,,
17,919479,Standing wo,oil leaks,Released,PMDA,D04,M02250,MT,2024-04-24 11:17:00,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
18,919478,Standing wo,oil leaks,Released,PMDA,D05,M02200,MT,2024-04-24 11:15:00,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
19,919477,Standing wo,oil leaks,Released,PMDA,D06,M02150,MT,2024-04-24 11:14:00,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
20,919474,Standing wo,oil leaks,Released,PMDA,D06,M02100,MT,2024-04-24 11:13:00,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
21,919472,Standing wo,oil leaks,Released,PMDA,D07,M02000,MT,2024-04-24 11:09:00,LBRUZAS,4/24/2024,4/24/2024,,4/24/2024,,,
22,918948,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2.5 couplers leaking,Completed,PMDA,D05,M02200,MT,2024-04-23 10:58:00,LBRUZAS,4/23/2024,4/23/2024,4/23/2024 11:07,4/23/2024,,,
23,918875,Breakdown-Prodn Equip Cannot Run,air leak,Completed,PMDA,D08,M03995,MT,2024-04-23 05:32:00,OESCOBAR,4/23/2024,4/23/2024,4/23/2024 5:33,4/23/2024,,,
24,917579,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",drip pan - oil leak ,Supervisor Review,PMDA,D19B,M06008,MT,2024-04-18 09:57:00,JLE,5/12/2024,5/12/2024,5/12/2024 5:04,4/18/2024,,,RADAMS
25,916852,Breakdown-Prodn Equip Cannot Run,7220 leak at the coil,Completed,PMDA,D18A,M07220,MT,2024-04-16 05:16:00,MDUARTE,4/16/2024,4/16/2024,4/16/2024 5:19,4/16/2024,,,
26,916047,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",6400 Deburr leak,Requested Work,PMDA,D19A,M06400,MT,2024-04-12 09:15:00,JDAVIES,4/12/2024,4/12/2024,,4/12/2024,,,
27,915864,Plant Equip Related Work,WASTE WATER LEAK BY END OF 1008 STEAMER,Completed,PMDA,D52,C52,MT,2024-04-11 14:28:00,EHAMMILL,4/11/2024,4/11/2024,4/11/2024 14:30,4/11/2024,,,
28,915848,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Cleanout - oil leaking into coolant caused heavy oil contamination,Completed,PMDA,D19B,M04030,MT,2024-04-11 10:48:00,SCURRAN,4/14/2024,4/14/2024,4/22/2024 7:27,4/11/2024,,,NSIMON
29,915754,Breakdown-Prodn Equip Cannot Run,all steamers have water leaking at unload,Completed,PMDA,D13C,M01008,MT,2024-04-11 04:16:00,RMALONEY,4/11/2024,4/11/2024,4/11/2024 4:19,4/11/2024,,,
30,915153,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil leak at the back,Released,PMDA,D21C,M05700,MT,2024-04-09 12:17:00,,5/6/2024,5/6/2024,,4/9/2024,,,OESCOBAR
31,915152,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil leak at filter change,Originator Review,PMDA,D21C,M05700,MT,2024-04-09 12:15:00,,5/6/2024,5/6/2024,5/6/2024 10:13,4/9/2024,,,OESCOBAR
32,915151,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Robot Pickup station leak inside the grinder,Released,PMDA,D21C,M05700,MT,2024-04-09 12:13:00,,5/6/2024,5/6/2024,,4/9/2024,,,OESCOBAR
33,915150,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Filter change area oil leak,Originator Review,PMDA,D21C,M05710,MT,2024-04-09 12:12:00,,4/27/2024,4/27/2024,4/27/2024 13:18,4/9/2024,,,LDAVIE
34,915149,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Grinder Oil leak underneath ,Released,PMDA,D21C,M05710,MT,2024-04-09 12:10:00,,4/23/2024,4/23/2024,,4/9/2024,,,OESCOBAR
35,915147,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Deburr Inlet conveyor coolant leak,Completed,PMDA,D21B,M06058,MT,2024-04-09 12:09:00,,4/27/2024,4/27/2024,4/28/2024 3:05,4/9/2024,,,LDAVIE
36,915146,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Oil Skimmer is leaking,Supervisor Review,PMDA,D13A,M06775,MT,2024-04-09 12:07:00,,5/3/2024,5/3/2024,5/11/2024 14:27,4/9/2024,,,OESCOBAR
37,915134,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Coolant leak underneath the washer. Coolant and oil inside the washer ,Released,PMDA,D13A,M06775,MT,2024-04-09 11:32:00,RBROWN,5/12/2024,5/12/2024,,4/9/2024,,,OESCOBAR
38,915078,Breakdown-Prodn Equip Cannot Run,Hydraulic leak ,Completed,PMDA,D19B,M04030,MT,2024-04-09 05:46:00,,4/9/2024,4/9/2024,4/9/2024 5:58,4/9/2024,,,
39,914693,Breakdown-Prodn Equip Cannot Run,oil leak from core rod,Completed,PMDA,D04,M02250,MT,2024-04-08 09:33:00,LBRUZAS,4/8/2024,4/8/2024,4/8/2024 9:35,4/8/2024,,,
40,914484,Breakdown-Prodn Equip Cannot Run,air leak ,Completed,PMDA,D17C,M06839,MT,2024-04-06 16:56:00,RMALONEY,4/6/2024,4/6/2024,4/6/2024 16:59,4/6/2024,,,
41,914274,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Leak to be repaired at the end of wash,Completed,PMDA,D21B,M06750,MT,2024-04-05 12:15:00,,4/21/2024,4/21/2024,4/21/2024 14:30,4/5/2024,,,MMOORE
42,914179,Breakdown-Prodn Equip Cannot Run,Air leak ,Completed,PMDA,D11,M04560,MT,2024-04-05 02:54:00,OESCOBAR,4/5/2024,4/5/2024,4/5/2024 5:53,4/5/2024,,,
43,914028,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",Hydraulic oil is leaking through chuck inside machine,Requested Work,PMDA,D19A,M09820,MT,2024-04-04 12:08:00,AVORA,4/4/2024,4/4/2024,,4/4/2024,,,
44,913696,Breakdown-Prodn Equip Cannot Run,COMPRESSOR 8059 HAS AIR LEAK AT JCI FITTING,Completed,PMDA,D53,M08059,MT,2024-04-03 09:35:00,EHAMMILL,4/3/2024,4/3/2024,4/3/2024 14:14,4/3/2024,,,
45,913491,Plant Equip Related Work,RO WATER LEAK BETWEEN 1010 AND 1011 AGAIN,Released,PMDA,D13C,M01011,MT,2024-04-02 13:53:00,EHAMMILL,4/2/2024,4/2/2024,,4/2/2024,,,
46,913385,Breakdown-Prodn Equip Cannot Run,M09905 Oil leak @ rotray union,Cancelled,PMDA,D21B,M09905,MT,2024-04-02 09:22:00,SBATHURST,4/19/2024,4/19/2024,4/20/2024 5:37,4/2/2024,,,MDUARTE
47,913271,Breakdown-Prodn Equip Cannot Run,2630 bottom platen quick exhaust valve leaking,Completed,PMDA,D03,M02630,MT,2024-04-01 14:24:00,KFAIRWEATHER,4/1/2024,4/1/2024,4/1/2024 14:28,4/1/2024,,,
48,913181,"Corrective Maint-Restore Prodn Equip to ""Normal"" Operating State",2250.03H Rebuild (leaking),Hold,PMDA,D04,M02250.03H,MT,2024-04-01 10:55:00,JSINGH,4/1/2024,4/1/2024,,4/1/2024,,,
